1 Human Development Index and its components,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Human Development Index (HDI)a                     ,,Life expectancy at birth,,Mean years of schooling,,Expected years of schooling,,Gross national income (GNI) per capita,,GNI per capita rank minus HDI rank,,Non-income HDI value,
153,Malawi,0.385,,54.6,,4.3,,8.9,,911,,6,,0.463,
154,Sudan,0.379,,58.9,,2.9,,4.4,,"2,051",,-22,,0.373,
155,Afghanistan,0.349,,44.6,,3.3,,8.0,,"1,419",,-12,,0.358,
156,Guinea,0.340,,58.9,,1.6,"b,t",8.6,,953,,0,,0.380,
157,Ethiopia,0.328,,56.1,,1.5,"b,o",8.3,,992,,-2,,0.357,
158,Sierra Leone,0.317,,48.2,,2.9,,7.2,,809,,4,,0.360,
159,Central African Republic,0.315,,47.7,,3.5,,6.3,,758,,4,,0.363,
160,Mali,0.309,,49.2,,1.4,,8.0,,"1,171",,-7,,0.312,
161,Burkina Faso,0.305,,53.7,,1.3,"b,q",5.8,,"1,215",,-12,,0.303,
162,Liberia,0.300,,59.1,,3.9,,11.0,,320,,5,,0.509,
163,Chad,0.295,,49.2,,1.5,"b,o",6.0,,"1,067",,-9,,0.298,
164,Guinea-Bissau,0.289,,48.6,,2.3,"b,q",9.1,,538,,1,,0.362,
165,Mozambique,0.284,,48.4,,1.2,,8.2,,854,,-5,,0.300,
166,Burundi,0.282,,51.4,,2.7,,9.6,,402,,0,,0.400,
167,Niger,0.261,,52.5,,1.4,,4.3,,675,,-3,,0.285,
168,Congo (Democratic Republic of the),0.239,,48.0,,3.8,,7.8,,291,,0,,0.390,
169,Zimbabwe,0.140,,47.0,,7.2,,9.2,,176,,0,,0.472,
OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,
,Antigua and Barbuda,..,,..,,..,,..,,"17,924",,..,,..,
,Bhutan,..,,66.8,,..,,11.3,,"5,607",,..,,..,
,Cuba,..,,79.0,,10.2,,17.7,,..,,..,,0.892,
,Dominica,..,,..,,..,,12.5,,"8,549",,..,,..,
,Eritrea,..,,60.4,,..,,5.5,,643,,..,,..,
,Grenada,..,,75.8,,..,,13.4,,"7,998",,..,,..,
,Iraq,..,,68.5,,5.6,,9.7,,..,,..,,0.600,
,Kiribati,..,,..,,..,,12.3,,"3,715",,..,,..,
,Korea (Democratic People's Rep. of),..,,67.7,,..,,..,,..,,..,,..,
,Lebanon,..,,72.4,,..,,13.5,,"13,475",,..,,..,
,Marshall Islands,..,,..,,9.8,"b,o",13.0,,..,,..,,0.766,
,Monaco,..,,..,,..,,..,,..,,..,,..,
,Nauru,..,,..,,..,,8.5,,..,,..,,..,
,Occupied Palestinian Territories,..,,73.9,,..,,13.1,,..,,..,,..,
,Oman,..,,76.1,,..,,11.1,,"25,653",,..,,..,
,Palau,..,,..,,12.1,"b,o",14.9,,,,..,,0.836,
,Saint Kitts and Nevis,..,,..,,..,,12.3,,"14,196",,..,,..,
,Saint Lucia,..,,74.2,,..,,13.0,,"8,652",,..,,..,
,Saint Vincent and the Grenadines,..,,72.0,,..,,13.5,,"8,535",,..,,..,
,Samoa,..,,72.2,,..,,12.2,,"4,126",,..,,..,
,San Marino,..,,..,,..,,..,,..,,..,,..,
,Seychelles,..,,..,,..,,14.7,,"19,128",,..,,..,
,Somalia,..,,50.4,,..,,1.8,r,..,,..,,..,
,Tuvalu,..,,..,,..,,11.2,,..,,..,,..,
,Vanuatu,..,,70.8,,..,,10.4,,"3,908",,..,,..,
,,,,,,,,,,,,,,,
,Developed,,,,,,,,,,,,,,
,OECD,0.879,,80.3,,11.4,,15.9,,"37,077",,—,,0.904,
,Non-OECD,0.844,,80.0,,10.0,,13.9,,"42,370",,—,,0.845,
,Developing,,,,,,,,,,,,,,
,Arab States,0.588,,69.1,,5.7,,10.8,,"7,861",,—,,0.610,
,East Asia and the Pacific,0.643,,72.6,,7.2,,11.5,,"6,403",,—,,0.692,
,Europe and Central Asia,0.702,,69.5,,9.2,,13.6,,"11,462",,—,,0.740,
,Latin America and the Caribbean,0.704,,74.0,,7.9,,13.7,,"10,642",,—,,0.746,
,South Asia,0.516,,65.1,,4.6,,10.0,,"3,417",,—,,0.551,
,Sub-Saharan Africa,0.389,,52.7,,4.5,,9.0,,"2,050",,—,,0.436,
,,,,,,,,,,,,,,,
,Very high human development,0.878,,80.3,,11.3,,15.9,,"37,225",,—,,0.902,
,High human development,0.717,,72.6,,8.3,,13.8,,"12,286",,—,,0.749,
,Medium human development,0.592,,69.3,,6.3,,11.0,,"5,134",,—,,0.634,
,Low human development,0.393,,56.0,,4.1,,8.2,,"1,490",,—,,0.445,
,,,,,,,,,,,,,,,
,Least developed countries,0.386,,57.7,,3.7,,8.0,,"1,393",,—,,0.441,
,,,,,,,,,,,,,,,
,World,0.624,,69.3,,7.4,,12.3,,"10,631",,—,,0.663,
,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,
,a. Refer to Technical Note 1 for details on how the HDI is calculated.,,,,,,,,,,,,,,
,b. Refers to an earlier year than that specified.,,,,,,,,,,,,,,
,"c. To calculate the HDI, unpublished estimates from UNDESA (2009d) were used. The data are not published because the population is below 100, 000.",,,,,,,,,,,,,,
,d. Assumes the same adult mean years of schooling as Switzerland.,,,,,,,,,,,,,,
,e. Based on the growth rate of GDP per capita in PPP US$ for Switzerland from IMF (2010a).,,,,,,,,,,,,,,
,f. Based on data on GDP from the United Nations Statistics Divison's [National Accounts: Main Aggregates Database] data on population from UNDESA (2009d) and the PPP exchange rate for Switzerland from World Bank (2010g).,,,,,,,,,,,,,,
,"g. In keeping with common usage, the Republic of Korea is referred to as South Korea in the body of this Report.",,,,,,,,,,,,,,
,h. Based on cross-country regression.,,,,,,,,,,,,,,
,i. Assumes the same adult mean years of schooling as Spain.,,,,,,,,,,,,,,
,j. Based on the growth rate of GDP per capita in PPP US$ for Spain from IMF (2010a).,,,,,,,,,,,,,,
,k. Based on data on GDP from the United Nations Statistics Divison's [National Accounts: Main Aggregates Database] data on population from UNDESA (2009d) and the PPP exchange rate for Spain from World Bank (2010g).,,,,,,,,,,,,,,
,l. 2007 prices.,,,,,,,,,,,,,,
,m. Based on the ratio of GNI in US$ to GDP in US$ from World Bank (2010g).,,,,,,,,,,,,,,
,n. UNESCO Institute for Statistics (2009).,,,,,,,,,,,,,,
,o. Based on data on years of schooling of adults from household survey  in the World Bank's International Income Distribution Database.,,,,,,,,,,,,,,
,"p. Based on implied PPP conversion factors from IMF(2010a), data on GDP per capita in local currency unit and the ratio between GNI and GDP in US$ from World Bank (2010c).",,,,,,,,,,,,,,
,q. Based on data from United Nations Children's Fund Multiple Indicator Cluster Surveys.,,,,,,,,,,,,,,
,r. Refers to primary and secondary education only from UNESCO Institute for Statistics (2010a).,,,,,,,,,,,,,,
,s. Based on the growth rate of GDP per capita in PPP US$ for Fiji from IMF (2010a).,,,,,,,,,,,,,,
,t. Based on data from U.S. Agency for International Development Demographic and Health Surveys.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Sources,,,,,,,,,,,,,,
,"Column 1: Calculated based on data from UNDESA (2009d),  Barro and Lee (2010), UNESCO Institute for Statistics (2010a), World Bank (2010g) and IMF(2010a).",,,,,,,,,,,,,,
,Column 2: UNDESA (2009d). ,,,,,,,,,,,,,,
,Column 3: Barro and Lee(2010). ,,,,,,,,,,,,,,
,Column 4: UNESCO Institute for Statistics (2010a).,,,,,,,,,,,,,,
,"Column 5: Expressed in 2008 prices, based on data on GNI per capita and GDP per capita in PPP US$ (current and constant prices) from World Bank (2010g) and implied growth rates of GDP per capita from IMF (2010a). ",,,,,,,,,,,,,,
,Column 6: Calculated based on GNI per capita rank and HDI rank.,,,,,,,,,,,,,,
,Column 7: Calculated based on data in columns 2-4.,,,,,,,,,,,,,,
